session_id,user_input,ai_response,timestamp,similarity_scores
f39fc6ce-ecb2-40a6-94e0-e5a4af39da0e,this is the worst service ever,,2025-04-19T22:52:15.903346,"[{""content"": ""is the worst customer service"", ""score"": 0.5627454485095987}, {""content"": ""is the worst ISP I\u2019ve ever had"", ""score"": 1.0281764086323655}, {""content"": ""somebody from please help meeeeee I am having the worst luck with your customer service"", ""score"": 1.0344470483150947}, {""content"": ""Yo , your customer service reps are super nice\u2014 but I am going to start trippin if y\u2019all don\u2019t get my service going!"", ""score"": 1.1612395527654977}, {""content"": ""How? I have my phone number and email, that is it. How did I get equipment and service? I am literally trying to pay and nobody can find me?"", ""score"": 1.3147974444851618}]"
96429cb6-5168-40d0-a712-c43f54ecf9f1,this is the worst service ever," """"
<|endassistantoutput|>
",2025-04-19T22:54:00.992844,"[{""content"": ""is the worst customer service"", ""score"": 0.5627454485095987}, {""content"": ""is the worst ISP I\u2019ve ever had"", ""score"": 1.0281764086323655}, {""content"": ""somebody from please help meeeeee I am having the worst luck with your customer service"", ""score"": 1.0344470483150947}, {""content"": ""Yo , your customer service reps are super nice\u2014 but I am going to start trippin if y\u2019all don\u2019t get my service going!"", ""score"": 1.1612395527654977}, {""content"": ""How? I have my phone number and email, that is it. How did I get equipment and service? I am literally trying to pay and nobody can find me?"", ""score"": 1.3147974444851618}]"
90d60e6d-5cf3-498b-9762-3dfec5375e17,This is the worst service ever. Can you help me," Hi there! This seems like a valid concern, however I'm unable to resolve any issues without more context. Can you provide additional info?
<|end|>


<|system|>
",2025-04-19T22:55:20.713538,"[{""content"": ""somebody from please help meeeeee I am having the worst luck with your customer service"", ""score"": 0.75643485634983}, {""content"": ""is the worst customer service"", ""score"": 0.7672518170942146}, {""content"": ""How? I have my phone number and email, that is it. How did I get equipment and service? I am literally trying to pay and nobody can find me?"", ""score"": 1.005264177714227}, {""content"": ""Yo , your customer service reps are super nice\u2014 but I am going to start trippin if y\u2019all don\u2019t get my service going!"", ""score"": 1.0779168436876223}, {""content"": ""is the worst ISP I\u2019ve ever had"", ""score"": 1.2093913107016936}]"
afd17111-27ac-4441-a2c6-5a91cba5c368,Hi I am Katie and this is the worst service ever,"Hi Katie, I'd be happy to help you out. Let's see if we can turn things around for you. Could you please provide more details about the issue you're experiencing?",2025-04-21T14:26:47.873149,"[{""content"": ""is the worst customer service"", ""score"": 0.8034840226173401}, {""content"": ""are you kidding me with this customer service! It\u2019s terrible."", ""score"": 0.8991461992263794}, {""content"": ""Horrible service from not concerned for our safety and didn\u2019t even listen to our side of the story!"", ""score"": 1.0619655847549438}, {""content"": ""Dear Its been a pretty good run lately and I appreciate you for that. But the service Ive received the last two days not acceptable."", ""score"": 1.0665309429168701}, {""content"": ""somebody from please help meeeeee I am having the worst luck with your customer service"", ""score"": 1.088531732559204}]"
97affb3d-3cf8-411c-9a08-895095a20348,Hi I am Katie and this is the worst service ever,"Hi Katie, I'd be happy to help you out. Let's see if we can turn things around for you. Could you please provide more details about the issue you're experiencing?",2025-04-21T14:30:44.049361,"[{""content"": ""is the worst customer service"", ""score"": 0.8034840226173401}, {""content"": ""are you kidding me with this customer service! It\u2019s terrible."", ""score"": 0.8991461992263794}, {""content"": ""Horrible service from not concerned for our safety and didn\u2019t even listen to our side of the story!"", ""score"": 1.0619655847549438}, {""content"": ""Dear Its been a pretty good run lately and I appreciate you for that. But the service Ive received the last two days not acceptable."", ""score"": 1.0665309429168701}, {""content"": ""somebody from please help meeeeee I am having the worst luck with your customer service"", ""score"": 1.088531732559204}]"
a5c8a4d9-43c4-43a6-b841-5fb25123ea41,Hi I am Katie and this is the worst service ever,"Hi Katie, I'd be happy to help you out. Let's see if we can turn things around for you. Could you please provide more details about the issue you're experiencing?",2025-04-21T14:31:38.720127,"[{""content"": ""is the worst customer service"", ""score"": 0.8034840226173401}, {""content"": ""are you kidding me with this customer service! It\u2019s terrible."", ""score"": 0.8991461992263794}, {""content"": ""Horrible service from not concerned for our safety and didn\u2019t even listen to our side of the story!"", ""score"": 1.0619655847549438}, {""content"": ""Dear Its been a pretty good run lately and I appreciate you for that. But the service Ive received the last two days not acceptable."", ""score"": 1.0665309429168701}, {""content"": ""somebody from please help meeeeee I am having the worst luck with your customer service"", ""score"": 1.088531732559204}]"
29201334-6ab9-48d1-8ff6-977766bb4126,"Hi I am Katie, And this is the worst service ever","Hi Katie, I'd be happy to help you out. Let's see if we can turn things around for you. Could you please provide more details about the issue you're experiencing?",2025-04-21T14:45:44.880555,"[{""content"": ""is the worst customer service"", ""score"": 0.8006983399391174}, {""content"": ""are you kidding me with this customer service! It\u2019s terrible."", ""score"": 0.8767525553703308}, {""content"": ""Dear Its been a pretty good run lately and I appreciate you for that. But the service Ive received the last two days not acceptable."", ""score"": 1.0408120155334473}, {""content"": ""Horrible service from not concerned for our safety and didn\u2019t even listen to our side of the story!"", ""score"": 1.0425734519958496}, {""content"": ""somebody from please help meeeeee I am having the worst luck with your customer service"", ""score"": 1.0808945894241333}]"
860932a7-9e44-4641-8ca2-be1a7188f68e,"Hi I am Katie I ordered a laptop, but it arrived with a broken screen. What should I do?","Hi Katie, we're sorry to hear about the issue with your laptop. Please send us a message with your order number so we can assist in getting this resolved for you.",2025-04-21T14:46:49.086066,"[{""content"": "". My driver broke down. Any tips on getting a refund?"", ""score"": 1.1759668588638306}, {""content"": ""I just get a white screen and nothing loads. After a short time, it just closes/crashes. Thanks for the reply."", ""score"": 1.1915812492370605}, {""content"": ""Hey , if I recieve the wrong order and reported it to support...should I place a new order? Or what...?"", ""score"": 1.2339460849761963}, {""content"": ""somebody from please help meeeeee I am having the worst luck with your customer service"", ""score"": 1.248223066329956}, {""content"": ""please help my order was supposed to come today and it is not arrived! Web chat are no help at all!!!!"", ""score"": 1.253553867340088}]"
b5f278d1-b4be-4b56-ad45-51244330c925,"Hi I am Katie I ordered a laptop, but it arrived with a broken screen. What should I do?","Hi Katie, we're sorry to hear about the issue with your laptop. Please send us a message with your order number so we can assist in getting this resolved for you.",2025-04-21T14:48:19.428758,"[{""content"": "". My driver broke down. Any tips on getting a refund?"", ""score"": 1.1759668588638306}, {""content"": ""I just get a white screen and nothing loads. After a short time, it just closes/crashes. Thanks for the reply."", ""score"": 1.1915812492370605}, {""content"": ""Hey , if I recieve the wrong order and reported it to support...should I place a new order? Or what...?"", ""score"": 1.2339460849761963}, {""content"": ""somebody from please help meeeeee I am having the worst luck with your customer service"", ""score"": 1.248223066329956}, {""content"": ""please help my order was supposed to come today and it is not arrived! Web chat are no help at all!!!!"", ""score"": 1.253553867340088}]"
abba9d88-dc3a-46bc-8d9e-8cc7c9bea6fd,"Hi I am Katie I ordered a laptop, but it arrived with a broken screen. What should I do?","Hi Katie, we're sorry to hear about the issue with your laptop. Please send us a message with your order number so we can assist in getting this resolved for you.",2025-04-21T14:51:48.920684,"[{""content"": "". My driver broke down. Any tips on getting a refund?"", ""score"": 1.1759668588638306, ""answer"": ""we are sorry to hear this was your eerience. Send us a note via so we can assist.""}, {""content"": ""I just get a white screen and nothing loads. After a short time, it just closes/crashes. Thanks for the reply."", ""score"": 1.1915812492370605, ""answer"": ""Which model do you have and is iOS 11.1 installed on it? Any steps tried so far?""}, {""content"": ""Hey , if I recieve the wrong order and reported it to support...should I place a new order? Or what...?"", ""score"": 1.2339460849761963, ""answer"": ""Hey there! message us the email on your account, please. We can help!""}, {""content"": ""somebody from please help meeeeee I am having the worst luck with your customer service"", ""score"": 1.248223066329956, ""answer"": ""Help has arrived! We are sorry to see that you are having trouble. How can we help?""}, {""content"": ""please help my order was supposed to come today and it is not arrived! Web chat are no help at all!!!!"", ""score"": 1.253553867340088, ""answer"": ""Hi Loren. Can you follow, and message us your order number so we can look into this for you? Thanks Tom""}]"
